,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),shipment_cost
1264,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Air,2008-04-21,2008-04-21,2008-04-21,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 30 Tabs",Lamivudine/Stavudine,Generic,150/30mg,Tablet - FDC,30,1600,3200.0,2.0,0.07,"Cipla, Goa, India",Yes,2519.0,15252.7,5.12,18457.82
1265,Zambia,PMO - US,From RDC,N/A - From RDC,Air,2008-03-28,2008-03-28,2008-03-28,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,4332,53803.44,12.42,0.41,Mylan (formerly Matrix) Nashik,Yes,338.0,1890.76,86.09,55780.29
1266,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,2008-08-07,2008-08-07,2008-08-07,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,38975,280620.0,7.2,0.12,"Strides, Bangalore, India.",Yes,13123.0,9161.95,448.99,290230.94
1267,Zambia,PMO - US,From RDC,N/A - From RDC,Air,2008-10-20,2008-10-20,2008-10-20,ARV,Pediatric,SCMS from RDC,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,3200,6720.0,2.1,0.01,"Aurobindo Unit III, India",Yes,1120.0,8185.2,13.17,14918.37
1268,Haiti,PMO - US,From RDC,N/A - From RDC,Air,2008-08-11,2008-08-11,2008-08-11,ARV,Pediatric,SCMS from RDC,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,210,3360.0,16.0,0.18,"Aurobindo Unit III, India",Yes,26.0,997.46,5.38,4362.84
1269,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2009-06-08,2009-06-08,2009-06-08,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,100000,1100000.0,11.0,0.37,Hetero Unit III Hyderabad IN,Yes,7735.0,15922.67,2156.0,1118078.67
1270,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2009-09-28,2009-09-28,2009-09-28,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,8732,25322.8,2.9,0.05,Hetero Unit III Hyderabad IN,Yes,485.0,7302.48,49.63,32674.91
1271,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2007-03-15,2007-03-15,2007-03-15,ARV,Adult,SCMS from RDC,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,528,8976.0,17.0,0.57,Gilead(Nycomed) Oranienburg DE,Yes,368.0,1619.0,47.04,10642.04
1272,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,2007-06-08,2007-06-08,2007-06-08,ARV,Adult,SCMS from RDC,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,4444,159095.2,35.8,0.6,"Aurobindo Unit III, India",Yes,633.0,5869.655000000001,47.04,165011.89500000002
1273,Uganda,PMO - US,From RDC,N/A - From RDC,Air,2007-11-05,2007-11-05,2007-11-05,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,1717,21325.14,12.42,0.41,"Aurobindo Unit III, India",Yes,151.0,1157.58,34.12,22516.84
