,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),shipment_cost
6043,Uganda,PMO - US,Direct Drop,EXW,Air,2013-03-05,2013-03-05,2013-03-05,ARV,Pediatric,Aurobindo Pharma Limited,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,50mg,Capsule,30,196,439.04,2.24,0.07,"Aurobindo Unit III, India",Yes,12.0,917.35,0.54,1356.93
6044,South Africa,PMO - US,Direct Drop,DDP,Ocean,2011-09-23,2011-09-23,2011-09-23,ARV,Pediatric,GLAXOSMITHKLINE EXPORT LIMITED,"Abacavir 20mg/ml [Ziagen], oral solution, Bottle, 240 ml",Abacavir,Ziagen,20mg/ml,Oral solution,240,20000,185600.0,9.28,0.04,GSK Mississauga (Canada),Yes,7670.0,7175.68,306.24,193081.91999999998
6045,South Sudan,PMO - US,Direct Drop,EXW,Air,2015-05-08,2015-05-08,2015-05-11,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,300mg,Test kit,20,50,1600.0,32.0,1.6,"Trinity Biotech, Plc",No,1047.0,5869.655000000001,1.88,7471.535000000001
6046,Ghana,PMO - US,Direct Drop,EXW,Air,2014-12-24,2014-12-24,2015-01-02,ARV,Pediatric,Aurobindo Pharma Limited,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,11730,16773.9,1.43,0.01,"Aurobindo Unit III, India",Yes,4673.0,22212.75,17.24,39003.89
6047,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-02-06,2014-02-06,2014-02-06,ARV,Adult,S. BUYS WHOLESALER,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,259,7677.85,29.64,0.49,"Cipla, Goa, India",No,1047.0,5869.655000000001,9.5,13557.005000000001
6048,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-08-29,2014-08-29,2014-08-29,ARV,Adult,S. BUYS WHOLESALER,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,472,9824.7,20.82,0.69,Hetero Unit III Hyderabad IN,No,1047.0,5869.655000000001,12.15,15706.505000000001
6049,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-01-13,2014-01-13,2014-01-13,ARV,Pediatric,S. BUYS WHOLESALER,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,50mg,Capsule,30,28,78.79,2.81,0.09,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,0.08,5948.525000000001
6050,Nigeria,PMO - US,Direct Drop,EXW,Air,2013-11-25,2013-11-25,2013-12-20,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,300mg,Test kit,20,5439,174048.0,32.0,1.6,Chembio Diagnostics Sys. Inc.,Yes,2097.0,9634.16,215.3,183897.46
6051,Vietnam,PMO - US,Direct Drop,EXW,Air,2013-04-03,2013-04-03,2013-04-03,ARV,Adult,HETERO LABS LIMITED,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,327,4218.3,12.9,0.22,Hetero Unit III Hyderabad IN,No,1047.0,5869.655000000001,5.22,10093.175000000001
6052,Haiti,PMO - US,Direct Drop,FCA,Air,2012-08-08,2012-08-08,2012-08-08,ARV,Pediatric,SYSMEX AMERICA INC,"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",Lopinavir/Ritonavir,Generic,100/25mg,Tablet,60,216,1596.24,7.39,0.12,ABBVIE Ludwigshafen Germany,Yes,24.0,4059.85,2.24,5658.33
6053,Vietnam,PMO - US,Direct Drop,EXW,Air,2013-05-28,2013-05-28,2013-05-28,ARV,Adult,MICRO LABS LIMITED,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,34900,63169.0,1.81,0.03,"Micro labs, Verna, Goa, India",Yes,1588.0,11413.52,78.14,74660.66
6054,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-08-12,2009-08-14,2009-08-14,ARV,Pediatric,S. BUYS WHOLESALER,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,710,30944.95,43.58,0.15,ABBVIE (Abbott) Logis. UK,Yes,1047.0,5869.655000000001,60.65,36875.255000000005
6055,Haiti,PMO - US,Direct Drop,EXW,Ocean,2015-01-09,2015-01-09,2015-01-12,ARV,Adult,MICRO LABS LIMITED,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,45750,95160.0,2.08,0.03,"Micro labs, Verna, Goa, India",No,1047.0,5869.655000000001,97.82,101127.475
6056,South Africa,PMO - US,Direct Drop,DDP,Truck,2015-08-24,2015-08-24,2015-08-24,ARV,Adult,PHARMACY DIRECT,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,98,691.06,7.05,0.12,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,0.71,6561.425
6057,Haiti,PMO - US,Direct Drop,FCA,Air,2013-04-11,2013-04-11,2013-04-11,ARV,Pediatric,LAWRENCE LABORATORIES (SUBSIDIARY OF BRISTOL MYERS SQUIBB),"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",Didanosine,Videx,2g,Powder for oral solution,200,98,1233.82,12.59,0.06,Bristol-Myers Squibb Anagni IT,Yes,22.0,817.99,1.53,2053.34
6058,Uganda,PMO - US,From RDC,N/A - From RDC,Air,2009-10-08,2009-10-08,2009-10-08,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,400,3504.0,8.76,0.15,"Aurobindo Unit III, India",Yes,70.0,1764.84,6.87,5275.71
6059,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2009-10-30,2009-10-20,2009-10-20,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,318,922.2,2.9,0.05,"Aurobindo Unit III, India",Yes,105.0,9341.59,1.81,10265.6
6060,Haiti,PMO - US,From RDC,N/A - From RDC,Air,2010-10-20,2010-10-21,2010-10-21,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,64241,549260.55,8.55,0.14,Hetero Unit III Hyderabad IN,Yes,6234.0,31214.27,1184.21,581659.03
6061,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,2010-11-30,2010-11-26,2010-11-26,ARV,Pediatric,SCMS from RDC,"Lamivudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,2415,4467.75,1.85,0.01,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,9.63,10347.035
6062,Dominican Republic,PMO - US,From RDC,N/A - From RDC,Air,2011-01-31,2010-12-08,2010-12-08,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,649,1512.17,2.33,0.04,Hetero Unit III Hyderabad IN,Yes,1787.0,18046.12,2.5,19560.79
6063,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2011-09-27,2011-09-12,2011-09-12,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,160058,1795850.76,11.22,0.19,Mylan (formerly Matrix) Nashik,Yes,26409.0,60432.88,2963.15,1859246.7899999998
6064,Zambia,PMO - US,From RDC,N/A - From RDC,Ocean,2012-01-10,2011-11-28,2011-11-28,ARV,Pediatric,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,12861,25078.95,1.95,0.01,"Aurobindo Unit III, India",Yes,4836.0,4075.1,41.38,29195.43
6065,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2012-04-16,2012-04-06,2012-04-06,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,13860,97297.2,7.02,0.12,"Aurobindo Unit III, India",Yes,662.0,3848.91,136.41,101282.52
6066,Haiti,PMO - US,Direct Drop,EXW,Air,2015-07-21,2015-07-21,2015-07-22,ARV,Adult,EMCURE PHARMACEUTICALS LTD,"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",Atazanavir/Ritonavir,Generic,300/100mg,Tablet,30,8000,144000.0,18.0,0.6,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",Yes,1023.0,6433.8,148.03,150581.83
6067,Zimbabwe,PMO - US,Direct Drop,FCA,Air,2015-02-28,2015-02-28,2015-02-28,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,5362,165256.84,30.82,0.1,ABBVIE (Abbott) Logis. UK,Yes,5060.0,44952.61,169.88,210379.33000000002
6068,South Africa,PMO - US,Direct Drop,DDP,Ocean,2011-11-22,2011-11-22,2011-11-22,ARV,Adult,Aurobindo Pharma Limited,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,90171,658248.3,7.3,0.12,"Aurobindo Unit III, India",Yes,4670.0,3341.45,1086.11,662675.86
6069,"Congo, DRC",PMO - US,Direct Drop,EXW,Air,2015-07-23,2015-07-23,2015-07-29,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,300mg,Test kit,100,128,10240.0,80.0,0.8,"Alere Medical Co., Ltd.",No,1047.0,5869.655000000001,12.05,16121.705
6070,Vietnam,PMO - US,Direct Drop,EXW,Air,2015-09-03,2015-09-03,2015-09-03,ARV,Adult,HETERO LABS LIMITED,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,17760,168720.0,9.5,0.32,Hetero Unit III Hyderabad IN,Yes,1047.0,5869.655000000001,198.58,174788.235
6071,Haiti,PMO - US,Direct Drop,EXW,Ocean,2014-05-09,2014-05-09,2014-05-12,ARV,Adult,HETERO LABS LIMITED,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,10725,23595.0,2.2,0.04,Hetero Unit III Hyderabad IN,No,1047.0,5869.655000000001,29.19,29493.844999999998
6072,Ghana,PMO - US,Direct Drop,EXW,Air,2014-10-09,2014-10-09,2014-10-13,ARV,Pediatric,Aurobindo Pharma Limited,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,3652,7304.0,2.0,0.01,"Aurobindo Unit III, India",Yes,1575.0,8130.55,7.51,15442.06
6073,Rwanda,PMO - US,Direct Drop,FCA,Air,2015-04-27,2015-04-27,2015-04-27,ARV,Pediatric,SWORDS LABORATORIES,"Atazanavir 150mg [Reyataz], capsules, 60 Caps",Atazanavir,Reyataz,150mg,Capsule,60,132,4468.2,33.85,0.56,"BMS Evansville, US",Yes,11.0,663.77,4.59,5136.5599999999995
6074,Ghana,PMO - US,Direct Drop,EXW,Air,2014-11-10,2014-11-10,2014-11-12,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,25097,205795.4,8.2,0.14,"Aurobindo Unit III, India",Yes,3167.0,16189.27,211.56,222196.22999999998
6075,Haiti,PMO - US,Direct Drop,EXW,Ocean,2015-07-03,2015-07-03,2015-07-13,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,65025,665856.0,10.24,0.34,Mylan (formerly Matrix) Nashik,No,1047.0,5869.655000000001,684.5,672410.155
6076,Tanzania,PMO - US,Direct Drop,EXW,Air,2015-02-23,2015-02-23,2015-02-24,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,300mg,Test kit,20,168,5376.0,32.0,1.6,"Trinity Biotech, Plc",Yes,55.0,1112.11,5.53,6493.639999999999
6077,Zambia,PMO - US,Direct Drop,EXW,Air,2015-03-11,2015-03-11,2015-03-31,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,300mg,Test kit,100,6322,505760.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,2564.0,37444.1,519.92,543724.02
6078,Mozambique,PMO - US,Direct Drop,EXW,Air,2013-03-20,2013-04-01,2013-04-01,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,300mg,Test kit,100,2863,229040.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,1298.0,13146.21,283.32,242469.53
6079,Haiti,PMO - US,Direct Drop,EXW,Ocean,2013-08-07,2013-08-07,2013-08-07,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,52080,356748.0,6.85,0.11,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,441.3,363058.955
6080,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-12-29,2009-12-29,2009-12-29,ARV,Pediatric,S. BUYS WHOLESALER,"Nevirapine 10mg/ml [Viramune], oral suspension, Bottle, 240 ml",Nevirapine,Viramune,10mg/ml,Oral suspension,240,60,927.34,15.46,0.06,Boehringer Ingelheim Roxane US,No,1047.0,5869.655000000001,2.0,6798.995000000001
6081,South Africa,South Africa Field Office,Direct Drop,DDP,Truck,2013-04-12,2013-04-12,2013-04-12,ARV,Pediatric,S. BUYS WHOLESALER,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,2,49.99,25.0,0.08,ABBVIE (Abbott) Logis. UK,No,1047.0,5869.655000000001,0.06,5919.705000000001
6082,South Sudan,PMO - US,Direct Drop,EXW,Air,2015-06-03,2015-06-03,2015-06-05,HRDT,HIV test - Ancillary,"Orgenics, Ltd","Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs","HIV, Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs",Determine,300mg,Test kit - Ancillary,100,50,400.0,8.0,0.08,"Alere Medical Co., Ltd.",No,1047.0,5869.655000000001,0.47,6270.125000000001
6083,South Africa,South Africa Field Office,Direct Drop,DDP,Truck,2013-04-16,2013-04-16,2013-04-16,ARV,Adult,S. BUYS WHOLESALER,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,13,328.17,25.24,0.42,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,0.41,6198.235000000001
6084,South Africa,PMO - US,Direct Drop,DDP,Ocean,2010-12-31,2010-12-31,2010-12-31,ARV,Pediatric,Aurobindo Pharma Limited,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,50mg,Capsule,30,22920,54778.8,2.39,0.08,"Aurobindo Unit III, India",Yes,1291.0,4429.37,118.1,59326.270000000004
6085,Zimbabwe,PMO - US,Direct Drop,EXW,Ocean,2014-11-03,2014-11-03,2014-11-03,ARV,Pediatric,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Nevirapine/Zidovudine 30/50/60mg, dispersible tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,Chewable/dispersible tablet - FDC,60,204713,736966.8,3.6,0.06,Mylan (formerly Matrix) Nashik,Yes,11430.0,22059.25,757.6,759783.65
6086,Mali,PMO - US,Direct Drop,CIP,Air,2015-05-20,2015-05-20,2015-07-16,HRDT,HIV test - Ancillary,Orasure Technologies Inc.,"HIV, OraQuick Controls Kit, 3 Vials","HIV, OraQuick Controls Kit, 3 Vials",OraQuick,300mg,Test kit - Ancillary,1,33,825.0,25.0,25.0,"Orasure Technologies, Inc USA",Yes,1047.0,5869.655000000001,0.85,6695.505000000001
6087,Vietnam,PMO - US,Direct Drop,FCA,Air,2011-09-23,2011-09-23,2011-09-23,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,1049,86227.8,82.2,0.68,ABBVIE Ludwigshafen Germany,Yes,264.0,5487.53,142.28,91857.61
6088,Tanzania,PMO - US,Direct Drop,EXW,Air,2011-09-29,2011-10-05,2011-10-05,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,300mg,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,3334.0,22523.12,330.0,222853.12
6089,Tanzania,PMO - US,Direct Drop,EXW,Air,2013-09-24,2013-09-27,2013-09-27,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,7255,58983.15,8.13,0.14,"Aurobindo Unit III, India",Yes,917.0,4676.61,72.96,63732.72
6090,Vietnam,PMO - US,Direct Drop,EXW,Air,2012-05-15,2012-05-15,2012-05-15,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,9679,47911.05,4.95,0.16,Mylan (formerly Matrix) Nashik,No,1047.0,5869.655000000001,67.17,53847.875
6091,Vietnam,PMO - US,Direct Drop,EXW,Air,2015-04-14,2015-04-14,2015-04-14,ARV,Adult,HETERO LABS LIMITED,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,14000,49700.0,3.55,0.12,Hetero Unit III Hyderabad IN,No,1047.0,5869.655000000001,51.09,55620.744999999995
6092,Uganda,PMO - US,Direct Drop,EXW,Air,2012-11-09,2012-11-09,2012-11-09,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",Atazanavir/Ritonavir,Generic,300/100mg,Tablet,30,170,3825.0,22.5,0.75,Mylan (formerly Matrix) Nashik,Yes,22.0,1051.5,5.36,4881.86
6093,Haiti,PMO - US,Direct Drop,EXW,Air,2015-02-26,2015-02-26,2015-02-27,ARV,Adult,HETERO LABS LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,56352,197232.0,3.5,0.12,"Hetero, Jadcherla, unit 5, IN",Yes,4792.0,30046.84,202.75,227481.59
6094,Rwanda,PMO - US,Direct Drop,FCA,Air,2015-03-26,2015-03-26,2015-03-26,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,86,2650.52,30.82,0.1,ABBVIE (Abbott) Logis. UK,Yes,100.0,1952.77,2.72,4606.01
6095,Rwanda,PMO - US,Direct Drop,EXW,Air,2015-08-27,2015-08-27,2015-08-27,ARV,Adult,EMCURE PHARMACEUTICALS LTD,"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",Atazanavir/Ritonavir,Generic,300/100mg,Tablet,30,24666,443988.0,18.0,0.6,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",No,1047.0,5869.655000000001,456.42,450314.075
6096,Vietnam,PMO - US,Direct Drop,EXW,Air,2012-11-12,2012-11-12,2012-11-12,ARV,Adult,CIPLA LIMITED,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,525,3465.0,6.6,0.11,"Cipla, Goa, India",Yes,34.0,807.47,4.86,4277.33
6097,Haiti,PMO - US,Direct Drop,EXW,Air,2010-11-12,2010-11-12,2010-11-12,HRDT,HIV test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests","HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody",Colloidal Gold,300mg,Test kit,1,40,920.0,23.0,23.0,"KHB Test Kit Facility, Shanghai China",Yes,30.0,835.01,1.98,1756.99
6098,South Sudan,PMO - US,Direct Drop,EXW,Air,2014-10-03,2014-10-03,2014-11-12,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,300mg,Test kit,100,350,31150.0,89.0,0.89,"Alere Medical Co., Ltd.",No,1047.0,5869.655000000001,32.02,37051.674999999996
6099,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,2014-07-17,2014-07-17,2014-07-17,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,300mg,Test kit,20,600,18600.0,31.0,1.55,Chembio Diagnostics Sys. Inc.,Yes,172.0,5869.655000000001,19.12,24488.774999999998
6100,Vietnam,PMO - US,Direct Drop,EXW,Air,2010-03-15,2010-03-15,2010-03-15,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,12700,141605.0,11.15,0.19,"Aurobindo Unit III, India",Yes,1572.0,13479.25,277.55,155361.8
6101,Guatemala,PMO - US,Direct Drop,CIP,Air,2011-03-08,2011-03-08,2011-03-08,ARV,Adult,ABBOTT LOGISTICS B.V.,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,2426,203371.58,83.83,0.7,ABBVIE Ludwigshafen Germany,Yes,1047.0,5869.655000000001,335.56,209576.79499999998
6102,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2009-12-09,2009-11-27,2009-11-27,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,5907,14413.08,2.44,0.04,"Aurobindo Unit III, India",Yes,283.0,4969.95,28.25,19411.28
6103,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,2010-04-14,2010-04-14,2010-04-14,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,10000,57800.0,5.78,0.19,"Aurobindo Unit III, India",Yes,2156.0,3423.25,113.29,61336.54
6104,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Air,2010-03-31,2010-03-12,2010-03-12,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,1900,9747.0,5.13,0.17,"Aurobindo Unit III, India",Yes,4000.0,3302.14,21.01,13070.15
6105,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2010-07-09,2010-07-05,2010-07-05,ARV,Pediatric,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,3872,7085.76,1.83,0.01,"Aurobindo Unit III, India",Yes,1451.0,5121.68,15.28,12222.720000000001
6106,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2010-11-04,2010-10-12,2010-10-12,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,140554,1651509.5,11.75,0.39,Mylan (formerly Matrix) Nashik,Yes,16961.0,16981.15,3560.65,1672051.2999999998
6107,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2011-06-15,2011-07-06,2011-07-06,ARV,Pediatric,SCMS from RDC,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,1280,12403.2,9.69,0.11,"Aurobindo Unit III, India",Yes,177.0,13398.06,20.47,25821.730000000003
6108,Uganda,PMO - US,From RDC,N/A - From RDC,Air,2011-08-31,2011-09-14,2011-09-14,ARV,Pediatric,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,11326,22085.7,1.95,0.01,"Aurobindo Unit III, India",Yes,4274.0,24213.81,36.44,46335.950000000004
6109,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2011-12-05,2011-10-14,2011-10-14,ARV,Adult,SCMS from RDC,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,24346,190385.72,7.82,0.26,Mylan (formerly Matrix) Nashik,Yes,2391.0,21326.73,314.14,212026.59000000003
6110,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,2011-12-15,2011-11-19,2011-11-19,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,8100,18873.0,2.33,0.04,"Aurobindo Unit III, India",Yes,387.0,3296.34,31.14,22200.48
6111,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,2012-02-10,2012-02-14,2012-02-14,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,341,879.78,2.58,0.04,"Strides, Bangalore, India.",No,1047.0,5869.655000000001,1.23,6750.665
