PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
FPQ-14843,SO-49721,DN-4236,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,29-May-15,15-Jun-15,15-Jun-15,ARV,Adult,SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,16006,73467.54,4.59,0.15,"Hetero, Jadcherla, unit 5, IN",Yes,1504,1653.9,75.52
Pre-PQ Process,SO-1524,DN-521,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,20-Dec-07,20-Dec-07,20-Dec-07,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,1797,17071.5,9.5,0.16,"Aurobindo Unit III, India",Yes,170,892,27.31
Pre-PQ Process,SO-17753,DN-1084,Uganda,PMO - US,From RDC,N/A - From RDC,Air,5-Mar-09,5-Mar-09,5-Mar-09,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60,1524,4876.8,3.2,0.05,"Aurobindo Unit III, India",No,See DN-1084 (ID#:11295),See DN-1084 (ID#:11295),9.56
FPQ-12066,SO-45060,DN-3327,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,30-Sep-13,17-Sep-13,17-Sep-13,ARV,Adult,SCMS from RDC,Abacavir,Generic,300mg,Tablet,60,3908,44785.68,11.46,0.19,"Aurobindo Unit III, India",No,See DN-3327 (ID#:85400),See DN-3327 (ID#:85400),55.4
FPQ-7175,SCMS-103350,ASN-11471,South Africa,PMO - US,Direct Drop,DDP,Ocean,5-Sep-11,5-Sep-11,5-Sep-11,ARV,Adult,Aurobindo Pharma Limited,Zidovudine,Generic,300mg,Tablet,60,100000,730000.0,7.3,0.12,"Aurobindo Unit III, India",Yes,5177,10405.58,1204.5
FPQ-7001,SO-38460,DN-2111,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,9-Feb-11,7-Feb-11,7-Feb-11,ARV,Adult,SCMS from RDC,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,6020,39551.4,6.57,0.22,"Aurobindo Unit III, India",Yes,542,3935.92,65.26
FPQ-8365,SCMS-126490,ASN-14125,Rwanda,PMO - US,Direct Drop,EXW,Air,30-Mar-12,30-Mar-12,30-Mar-12,ARV,Adult,Aurobindo Pharma Limited,Didanosine,Generic,400mg,Delayed-release capsules,30,150,3000.0,20.0,0.67,"Aurobindo Unit III, India",Yes,197,5906.43,4.95
FPQ-8840,SO-41131,DN-2493,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,16-Mar-12,14-Feb-12,14-Feb-12,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30,42,173.04,4.12,0.14,"Strides, Bangalore, India.",No,See DN-2493 (ID#:82432),See DN-2493 (ID#:82432),0.24
FPQ-5201,SO-36320,DN-2005,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,10-Sep-10,6-Sep-10,6-Sep-10,ARV,Pediatric,SCMS from RDC,Didanosine,Generic,200mg,Chewable/dispersible tablet,60,3968,61504.0,15.5,0.26,"Aurobindo Unit III, India",Yes,842,8815.65,132.6
FPQ-7400,SCMS-104220,ASN-12743,South Africa,PMO - US,Direct Drop,DDP,Ocean,9-Jan-12,9-Jan-12,9-Jan-12,ARV,Pediatric,GLAXOSMITHKLINE EXPORT LIMITED,Abacavir,Ziagen,20mg/ml,Oral solution,240,2244,20824.32,9.28,0.04,GSK Mississauga (Canada),Yes,870,3755.91,34.36
FPQ-10946,SO-43640,DN-3025,Uganda,PMO - US,From RDC,N/A - From RDC,Air,4-Apr-13,7-Mar-13,7-Mar-13,ARV,Adult,SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,32298,151800.6,4.7,0.16,Hetero Unit III Hyderabad IN,No,See DN-3025 (ID#:82546),See DN-3025 (ID#:82546),187.78
FPQ-12855,SCMS-203960,ASN-24026,Uganda,PMO - US,Direct Drop,CIP,Air,22-Jan-14,22-Jan-14,21-Feb-14,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Abacavir/Lamivudine,Generic,600/300mg,Tablet - FDC,30,8215,110820.35,13.49,0.45,Mylan (formerly Matrix) Nashik,Yes,805,1003.18,137.08
FPQ-12801,SO-46540,DN-3790,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,30-Jun-14,20-Jun-14,25-Jun-14,ARV,Pediatric,SCMS from RDC,Abacavir/Lamivudine,Generic,60/30mg,Tablet - FDC,60,27137,110990.33,4.09,0.07,Mylan (formerly Matrix) Nashik,Yes,1169,28812.58,137.3
Pre-PQ Process,SCMS-33070,ASN-2888,Vietnam,PMO - US,Direct Drop,EXW,Air,27-Nov-08,27-Nov-08,27-Nov-08,ARV,Adult,Aurobindo Pharma Limited,Nevirapine,Generic,200mg,Tablet,60,6000,17400.0,2.9,0.05,"Aurobindo Unit III, India",Yes,581,2653.27,34.1
Pre-PQ Process,SO-457,DN-292,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,29-Aug-07,29-Aug-07,29-Aug-07,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,29489,314942.52,10.68,0.18,"Aurobindo Unit III, India",Yes,2670,7533,503.91
Pre-PQ Process,SCMS-13510,ASN-1483,Uganda,PMO - US,Direct Drop,CIP,Air,31-Mar-08,31-Mar-08,31-Mar-08,ARV,Adult,BRISTOL-MYERS SQUIBB,Didanosine EC,Videx EC,400mg,Delayed-release capsules - blister,30,140,3313.8,23.67,0.79,"BMS Meymac, France",Yes,6,Freight Included in Commodity Cost,5.3
FPQ-5648,SCMS-75980,ASN-8791,South Africa,PMO - US,Direct Drop,DDP,Ocean,20-Dec-10,12-Jan-11,12-Jan-11,ARV,Adult,Aurobindo Pharma Limited,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,11711,80923.01,6.91,0.23,"Aurobindo Unit III, India",Yes,1093,5460.48,174.47
FPQ-8741,SCMS-129530,ASN-15232,Rwanda,PMO - US,Direct Drop,CIP,Air,15-Jun-12,15-Jun-12,15-Jun-12,ARV,Pediatric,CIPLA LIMITED,Lamivudine/Stavudine,Generic,60/12mg,Chewable/dispersible tablet - FDC,60,672,2466.24,3.67,0.06,"Cipla, Goa, India",Yes,49,221.96,3.46
FPQ-8303,SO-40490,DN-2633,Tanzania,PMO - US,From RDC,N/A - From RDC,Truck,1-Jun-12,1-Jun-12,1-Jun-12,ARV,Pediatric,SCMS from RDC,Lamivudine/Nevirapine/Stavudine,Generic,60/100/12mg,Chewable/dispersible tablet - FDC,60,26300,119402.0,4.54,0.08,"Cipla, Goa, India",Yes,2278,7865.4,197.01
FPQ-9355,SO-41593,DN-2744,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,5-Sep-12,26-Jul-12,26-Jul-12,ARV,Adult,SCMS from RDC,Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,600/200/300mg,Tablet - FDC,30,6150,92496.0,15.04,0.5,Mylan (formerly Matrix) Nashik,No,See DN-2744 (ID#:82490),See DN-2744 (ID#:82490),129.68
FPQ-12619,SO-46090,DN-3425,Guyana,PMO - US,From RDC,N/A - From RDC,Air,31-Dec-13,2-Dec-13,20-Dec-13,ARV,Adult,SCMS from RDC,Abacavir,Generic,300mg,Tablet,60,67,767.82,11.46,0.19,"Aurobindo Unit III, India",No,See DN-3425 (ID#:82618),See DN-3425 (ID#:82618),0.95
