PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
FPQ-12093,SCMS-189070,ASN-20218,"Congo, DRC",PMO - US,Direct Drop,EXW,Air,28-Nov-13,28-Nov-13,3-Dec-13,ARV,Pediatric,Aurobindo Pharma Limited,Didanosine,Generic,200mg,Delayed-release capsules,30,75,825.0,11.0,0.37,"Aurobindo Unit III, India",No,See ASN-20218 (ID#:20450),See ASN-20218 (ID#:20450),1.02
FPQ-13566,SO-47662,DN-3700,Tanzania,PMO - US,From RDC,N/A - From RDC,Truck,29-Jul-14,2-Aug-14,4-Aug-14,ARV,Pediatric,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,Chewable/dispersible tablet - FDC,60,14789,55458.75,3.75,0.06,Mylan (formerly Matrix) Nashik,Yes,825,5137.06,57.01
FPQ-6186,SCMS-83351,ASN-9598,Rwanda,PMO - US,Direct Drop,CIP,Air,28-Jan-11,28-Jan-11,28-Jan-11,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,5244,91665.12,17.48,0.58,Mylan (formerly Matrix) Nashik,Yes,Weight Captured Separately,Freight Included in Commodity Cost,197.63
FPQ-8840,SO-41388,DN-2529,"Congo, DRC",PMO - US,From RDC,N/A - From RDC,Air,22-Mar-12,22-Mar-12,22-Mar-12,ARV,Adult,SCMS from RDC,Lamivudine,Generic,150mg,Tablet,60,73,170.09,2.33,0.04,Hetero Unit III Hyderabad IN,Yes,5,491.43,0.24
FPQ-8759,SO-41122,DN-2613,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,27-Apr-12,16-Apr-12,16-Apr-12,ARV,Adult,SCMS from RDC,Abacavir,Generic,300mg,Tablet,60,15000,219450.0,14.63,0.24,Mylan (formerly Matrix) Nashik,Yes,1677,8510.81,307.67
FPQ-12837,SCMS-204300,ASN-21710,Cameroon,PMO - US,Direct Drop,EXW,Air,18-Oct-13,18-Oct-13,18-Oct-13,ARV,Adult,Aurobindo Pharma Limited,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,32190,261704.7,8.13,0.14,"Aurobindo Unit III, India",Yes,4093,34441.93,323.73
FPQ-8002,SO-40190,DN-2306,Tanzania,PMO - US,From RDC,N/A - From RDC,Truck,5-Aug-11,16-Aug-11,16-Aug-11,ARV,Adult,SCMS from RDC,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,4389,148084.86,33.74,0.28,ABBVIE Ludwigshafen Germany,Yes,880,3175.7,244.34
FPQ-11545,SO-44350,DN-3337,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,30-Sep-13,9-Oct-13,1-Nov-13,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60,131520,303811.2,2.31,0.04,Hetero Unit III Hyderabad IN,No,See DN-3337 (ID#:84290),See DN-3337 (ID#:84290),375.81
FPQ-13108,SO-46872,DN-3607,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,21-Mar-14,18-Apr-14,28-Apr-14,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,34138,281979.88,8.26,0.14,"Aurobindo Unit III, India",Yes,4009,4947.38,289.88
FPQ-10811,SCMS-164530,ASN-18729,Vietnam,PMO - US,Direct Drop,FCA,Air,9-Apr-13,9-Apr-13,9-Apr-13,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,4164,253254.48,60.82,0.51,ABBVIE Ludwigshafen Germany,Yes,992,3212.25,313.28
FPQ-7175,SCMS-103380,ASN-12380,South Africa,PMO - US,Direct Drop,DDP,Ocean,4-Jan-12,4-Jan-12,4-Jan-12,ARV,Adult,Aurobindo Pharma Limited,Zidovudine,Generic,300mg,Tablet,60,92887,678075.1,7.3,0.12,"Aurobindo Unit III, India",Yes,4810,6599.86,1118.82
FPQ-11828,SCMS-183950,ASN-19166,South Africa,South Africa Field Office,Direct Drop,DDP,Truck,16-Apr-13,16-Apr-13,16-Apr-13,ARV,Adult,S. BUYS WHOLESALER,Didanosine,Generic,400mg,Delayed-release capsules,30,251,4996.06,19.9,0.66,"Aurobindo Unit III, India",No,Weight Captured Separately,Freight Included in Commodity Cost,6.18
FPQ-4495,SO-34941,DN-1817,Uganda,PMO - US,From RDC,N/A - From RDC,Air,3-May-10,3-May-10,3-May-10,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,18000,201960.0,11.22,0.19,Mylan (formerly Matrix) Nashik,Yes,2281,15254.43,435.43
Pre-PQ Process,SCMS-45080,ASN-4420,Vietnam,PMO - US,Direct Drop,EXW,Air,10-Jul-09,10-Jul-09,10-Jul-09,ARV,Adult,Aurobindo Pharma Limited,Stavudine,Generic,30mg,Capsule,60,6048,8769.6,1.45,0.02,"Aurobindo Unit III, India",No,See ASN-4420 (ID#:1183),See ASN-4420 (ID#:1183),17.19
FPQ-9749,SO-42350,DN-2806,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,1-Oct-12,27-Aug-12,27-Aug-12,ARV,Adult,SCMS from RDC,Abacavir/Lamivudine/Zidovudine,Generic,300/150/300mg,Tablet - FDC,60,2050,57400.0,28.0,0.47,Mylan (formerly Matrix) Nashik,Yes,312,2128.15,80.47
Pre-PQ Process,SCMS-40830,ASN-3578,South Africa,PMO - US,Direct Drop,DDP,Air,28-Apr-09,19-Dec-08,19-Dec-08,ARV,Adult,S. BUYS WHOLESALER,Efavirenz,Generic,600mg,Tablet,30,3710,60732.7,16.37,0.55,"Aurobindo Unit III, India",Yes,Weight Captured Separately,Freight Included in Commodity Cost,119.04
FPQ-13165,SO-47591,DN-3651,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,4-Jul-14,3-Jun-14,19-Jun-14,ARV,Adult,SCMS from RDC,Lamivudine,Generic,150mg,Tablet,60,440,765.6,1.74,0.03,"Micro labs, Verna, Goa, India",Yes,27,800,0.79
FPQ-7175,SCMS-103430,ASN-11393,South Africa,PMO - US,Direct Drop,DDP,Ocean,14-Sep-11,14-Sep-11,14-Sep-11,ARV,Adult,Aurobindo Pharma Limited,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,50000,421000.0,8.42,0.14,"Aurobindo Unit III, India",Yes,4603,8033.13,694.65
Pre-PQ Process,SCMS-47051,ASN-4837,South Africa,PMO - US,Direct Drop,DDP,Truck,12-Oct-09,3-Aug-09,3-Aug-09,ARV,Pediatric,S. BUYS WHOLESALER,Efavirenz,Generic,200mg,Capsule,90,140,3540.6,25.29,0.28,"Aurobindo Unit III, India",No,Weight Captured Separately,Freight Included in Commodity Cost,6.94
FPQ-13508,SO-47541,DN-3771,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,30-Sep-14,20-Jun-14,7-Jul-14,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60,178097,402499.22,2.26,0.04,Hetero Unit III Hyderabad IN,No,See DN-3771 (ID#:84943),See DN-3771 (ID#:84943),413.77
FPQ-14396,SO-48970,DN-4008,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,28-Nov-14,3-Dec-14,4-Dec-14,ARV,Pediatric,SCMS from RDC,Abacavir/Lamivudine,Generic,60/30mg,Tablet - FDC,60,9308,38069.72,4.09,0.07,Mylan (formerly Matrix) Nashik,No,See DN-4008 (ID#:82753),See DN-4008 (ID#:82753),39.14
FPQ-4694,SO-35390,DN-1659,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,31-Mar-10,12-Mar-10,12-Mar-10,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,560,4905.6,8.76,0.15,"Aurobindo Unit III, India",No,See DN-1659 (ID#:82859),See DN-1659 (ID#:82859),10.58
FPQ-13166,SO-47611,DN-3697,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,9-Jul-14,18-Jul-14,7-Aug-14,ARV,Adult,SCMS from RDC,Abacavir/Lamivudine,Generic,600/300mg,Tablet - FDC,30,2555,34543.6,13.52,0.45,Mylan (formerly Matrix) Nashik,Yes,227,227.19,35.51
FPQ-15259,SO-50111,DN-4314,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,31-Jul-15,6-Aug-15,7-Aug-15,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,48928,319010.56,6.52,0.11,Hetero Unit III Hyderabad IN,No,See DN-4314 (ID#:82812),See DN-4314 (ID#:82812),375.48
FPQ-6262,SCMS-83770,ASN-9941,South Africa,PMO - US,Direct Drop,DDP,Ocean,26-Apr-11,26-Apr-11,26-Apr-11,ARV,Adult,Aurobindo Pharma Limited,Lamivudine,Generic,150mg,Tablet,60,152535,361507.95,2.37,0.04,"Aurobindo Unit III, India",Yes,7698,11372.23,779.41
FPQ-5201,SO-36311,DN-1982,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,23-Aug-10,23-Aug-10,23-Aug-10,ARV,Pediatric,SCMS from RDC,Stavudine,Generic,1mg/ml,Oral solution,200,2400,3240.0,1.35,0.01,"Aurobindo Unit III, India",No,See DN-1982 (ID#:82910),See DN-1982 (ID#:82910),6.99
FPQ-9321,SO-41521,DN-2596,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,24-Apr-12,3-Apr-12,3-Apr-12,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30,1150,4738.0,4.12,0.14,"Strides, Bangalore, India.",Yes,70,1494.6,6.64
Pre-PQ Process,SO-2059,DN-733,Haiti,PMO - US,From RDC,N/A - From RDC,Air,26-May-08,26-May-08,26-May-08,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60,11760,39984.0,3.4,0.06,"Aurobindo Unit III, India",Yes,3820,35933.8,63.97
Pre-PQ Process,SCMS-39940,ASN-3753,Haiti,PMO - US,Direct Drop,FCA,Air,15-Apr-09,15-Apr-09,15-Apr-09,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Generic,100/25mg,Tablet,60,14,143.92,10.28,0.17,ABBVIE Ludwigshafen Germany,Yes,7,810.36,0.28
Pre-PQ Process,SCMS-27190,ASN-2391,Uganda,PMO - US,Direct Drop,CIP,Air,9-Sep-08,9-Sep-08,9-Sep-08,ARV,Adult,BRISTOL-MYERS SQUIBB,Didanosine EC,Videx EC,400mg,Delayed-release capsules - blister,30,50,1183.5,23.67,0.79,"BMS Meymac, France",Yes,2,330,1.89
FPQ-12473,SO-45880,DN-3263,Uganda,PMO - US,From RDC,N/A - From RDC,Air,27-Sep-13,27-Sep-13,27-Sep-13,ARV,Adult,SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,34385,161609.5,4.7,0.16,Hetero Unit III Hyderabad IN,Yes,11594,85414.3,199.91
FPQ-9665,SO-41900,DN-2641,Libya,PMO - US,From RDC,N/A - From RDC,Air,23-May-12,23-May-12,23-May-12,ARV,Adult,SCMS from RDC,Zidovudine,Generic,300mg,Tablet,60,4166,29245.32,7.02,0.12,Hetero Unit III Hyderabad IN,No,See DN-2641 (ID#:83029),See DN-2641 (ID#:83029),41.0
FPQ-10405,SO-42990,DN-2936,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,13-Dec-12,3-Dec-12,3-Dec-12,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,36180,279309.6,7.72,0.13,Mylan (formerly Matrix) Nashik,Yes,2907,11320.56,391.59
Pre-PQ Process,SO-22020,DN-1052,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,3-Mar-09,3-Mar-09,3-Mar-09,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30,11549,122650.38,10.62,0.35,"Aurobindo Unit III, India",No,See DN-1052 (ID#:10737),See DN-1052 (ID#:10737),240.39
FPQ-12253,SO-45500,DN-3515,Uganda,PMO - US,From RDC,N/A - From RDC,Air,31-Jan-14,17-Feb-14,4-Mar-14,ARV,Pediatric,SCMS from RDC,Abacavir/Lamivudine,Generic,60/30mg,Tablet - FDC,60,1446,5784.0,4.0,0.07,"Aurobindo Unit III, India",Yes,68,790.29,7.15
FPQ-14156,SO-48892,DN-4052,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,30-Jan-15,29-Dec-14,6-Jan-15,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,306992,2369978.24,7.72,0.13,"Cipla, Goa, India",No,See DN-4052 (ID#:85005),See DN-4052 (ID#:85005),2436.34
FPQ-10643,SCMS-160980,ASN-17428,Vietnam,PMO - US,Direct Drop,EXW,Air,26-Dec-12,26-Dec-12,26-Dec-12,ARV,Adult,Aurobindo Pharma Limited,Nevirapine,Generic,200mg,Tablet,60,15945,35876.25,2.25,0.04,"Aurobindo Unit III, India",Yes,1479,5180.86,50.3
FPQ-4275,SO-35610,DN-1638,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,25-Feb-10,18-Feb-10,18-Feb-10,ARV,Adult,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,29,325.38,11.22,0.19,"Aurobindo Unit III, India",Yes,5134,9348,0.64
FPQ-13973,SCMS-238570,ASN-30715,South Africa,PMO - US,Direct Drop,DDP,Truck,16-Feb-15,16-Feb-15,16-Feb-15,ARV,Pediatric,PHARMACY DIRECT,Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,3,66.2,22.07,0.07,ABBVIE (Abbott) Logis. UK,Yes,Weight Captured Separately,Freight Included in Commodity Cost,0.07
FPQ-15197,SO-50010,DN-4243,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,30-Apr-15,30-Apr-15,30-Apr-15,ARV,Pediatric,SCMS from RDC,Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,Chewable/dispersible tablet - FDC,60,46752,168307.2,3.6,0.06,"Cipla, Goa, India",No,See DN-4243 (ID#:83907),See DN-4243 (ID#:83907),198.1
FPQ-4273,SO-33690,DN-1643,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,15-Mar-10,5-Mar-10,5-Mar-10,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60,50000,136500.0,2.73,0.05,"Cipla, Goa, India",No,See DN-1643 (ID#:82293),See DN-1643 (ID#:82293),267.54
FPQ-7053,SO-38660,DN-2269,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,31-Aug-11,1-Sep-11,1-Sep-11,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,39636,338887.8,8.55,0.14,"Aurobindo Unit III, India",Yes,3666,3525.04,559.16
FPQ-13973,SCMS-238554,ASN-28629,South Africa,PMO - US,Direct Drop,DDP,Truck,3-Oct-14,3-Oct-14,3-Oct-14,ARV,Adult,PHARMACY DIRECT,Etravirine,Intelence,100mg,Tablet,120,33,1168.83,35.42,0.3,"Janssen-Cilag, Latina, IT",Yes,Weight Captured Separately,Freight Included in Commodity Cost,1.2
Pre-PQ Process,SCMS-37190,ASN-3522,Vietnam,PMO - US,Direct Drop,EXW,Air,27-Mar-09,27-Mar-09,27-Mar-09,ARV,Adult,CIPLA LIMITED,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,24480,168912.0,6.9,0.12,"Cipla, Goa, India",Yes,2165,4443.97,331.07
FPQ-14942,SCMS-259072,ASN-30376,South Africa,PMO - US,Direct Drop,DDP,Truck,26-Jan-15,26-Jan-15,26-Jan-15,ARV,Adult,PHARMACY DIRECT,Raltegravir,Isentress,400mg,Tablet,60,6,366.99,61.16,1.02,"MSD, Haarlem, NL",No,Weight Captured Separately,Freight Included in Commodity Cost,0.38
FPQ-15639,SO-50660,DN-4310,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,31-Jul-15,23-Jul-15,23-Jul-15,ARV,Adult,SCMS from RDC,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,88327,575892.04,6.52,0.11,Hetero Unit III Hyderabad IN,Yes,Weight Captured Separately,Invoiced Separately,677.82
Pre-PQ Process,SO-30790,DN-1238,Swaziland,PMO - US,From RDC,N/A - From RDC,Air,21-May-09,21-May-09,21-May-09,ARV,Pediatric,SCMS from RDC,Efavirenz,Generic,200mg,Capsule,90,1417,18038.41,12.73,0.14,"Aurobindo Unit III, India",No,See DN-1238 (ID#:11046),See DN-1238 (ID#:11046),35.36
FPQ-9432,SO-42336,DN-2710,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,2-Aug-12,3-Jun-12,3-Jun-12,ARV,Adult,SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,75000,415500.0,5.54,0.18,"Aurobindo Unit VII, IN",No,See DN-2710 (ID#:85273),See DN-2710 (ID#:85273),582.53
Pre-PQ Process,SO-32800,DN-1385,Rwanda,PMO - US,From RDC,N/A - From RDC,Air,31-Jul-09,31-Jul-09,31-Jul-09,ARV,Adult,SCMS from RDC,Lamivudine,Generic,150mg,Tablet,60,8766,21389.04,2.44,0.04,"Aurobindo Unit III, India",Yes,447,4257.01,41.92
FPQ-13508,SO-47541,DN-3771,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,30-Sep-14,20-Jun-14,7-Jul-14,ARV,Adult,SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,153560,721732.0,4.7,0.16,"Aurobindo Unit VII, IN",Yes,18528,31514.85,741.94
Pre-PQ Process,SCMS-27320,ASN-2792,Vietnam,PMO - US,Direct Drop,EXW,Air,21-Nov-08,21-Nov-08,21-Nov-08,ARV,Adult,Aurobindo Pharma Limited,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,2200,25080.0,11.4,0.19,"Aurobindo Unit III, India",No,See ASN-2792 (ID#:5936),See ASN-2792 (ID#:5936),49.16
FPQ-10394,SCMS-156500,ASN-16219,Tanzania,PMO - US,Direct Drop,EXW,Air,9-Oct-12,12-Oct-12,12-Oct-12,ARV,Adult,Aurobindo Pharma Limited,Efavirenz,Generic,600mg,Tablet,30,25741,84945.3,3.3,0.11,"Aurobindo Unit III, India",Yes,2210,9452.02,119.09
FPQ-16313,SO-51440,DN-4282,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,30-Jun-15,22-Jun-15,29-Jun-15,ARV,Adult,SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,55851,256356.09,4.59,0.15,Hetero Unit III Hyderabad IN,Yes,6183,47281.56,301.73
FPQ-9001,SCMS-131700,ASN-14757,Vietnam,PMO - US,Direct Drop,EXW,Air,15-May-12,15-May-12,15-May-12,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,9679,47911.05,4.95,0.16,Mylan (formerly Matrix) Nashik,No,See ASN-14757 (ID#:30618),See ASN-14757 (ID#:30618),67.17
FPQ-12522,SCMS-199283,ASN-27979,South Africa,PMO - US,Direct Drop,DDP,Truck,27-Aug-14,27-Aug-14,27-Aug-14,ARV,Adult,S. BUYS WHOLESALER,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,132,2983.26,22.6,0.75,"Aurobindo Unit III, India",No,Weight Captured Separately,Freight Included in Commodity Cost,3.69
FPQ-14989,SO-49932,DN-4228,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,30-Jun-15,15-Apr-15,20-Apr-15,ARV,Adult,SCMS from RDC,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,68072,653491.2,9.6,0.32,Hetero Unit III Hyderabad IN,Yes,8799,15880,671.79
FPQ-14728,SCMS-252640,ASN-28481,Namibia,PMO - US,Direct Drop,EXW,Air,22-Oct-14,22-Oct-14,22-Oct-14,ARV,Adult,HETERO LABS LIMITED,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,24096,111323.52,4.62,0.15,Hetero Unit III Hyderabad IN,Yes,2630,12463.74,114.44
Pre-PQ Process,SCMS-40780,ASN-3607,South Africa,PMO - US,Direct Drop,DDP,Air,17-Mar-09,28-Nov-08,28-Nov-08,ARV,Adult,S. BUYS WHOLESALER,Stavudine,Zerit,15mg,Capsule,60,1000,3970.0,3.97,0.07,"BMS Meymac, France",No,Weight Captured Separately,Freight Included in Commodity Cost,7.78
FPQ-15038,SCMS-263170,ASN-31572,Haiti,PMO - US,Direct Drop,EXW,Air,11-May-15,11-May-15,13-May-15,ARV,Adult,Aurobindo Pharma Limited,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,19987,135311.99,6.77,0.11,"Aurobindo Unit III, India",No,See ASN-31572 (ID#:24983),See ASN-31572 (ID#:24983),139.1
FPQ-13651,SCMS-227720,ASN-25267,Rwanda,PMO - US,Direct Drop,EXW,Air,6-May-14,6-May-14,15-May-14,ARV,Pediatric,Aurobindo Pharma Limited,Nevirapine,Generic,10mg/ml,Oral suspension,240,9690,14631.9,1.51,0.01,"Aurobindo Unit III, India",Yes,3790,66260.33,15.04
FPQ-15038,SCMS-262850,ASN-30567,Haiti,PMO - US,Direct Drop,EXW,Air,13-Mar-15,13-Mar-15,13-Mar-15,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Abacavir,Generic,300mg,Tablet,60,4680,51433.2,10.99,0.18,Mylan (formerly Matrix) Nashik,Yes,487,3463.53,52.87
FPQ-13973,SCMS-238551,ASN-26882,South Africa,PMO - US,Direct Drop,DDP,Truck,25-Jun-14,25-Jun-14,25-Jun-14,ARV,Pediatric,PHARMACY DIRECT,Efavirenz,Generic,50mg,Capsule,30,9,27.05,3.01,0.1,"Aurobindo Unit III, India",No,Weight Captured Separately,Freight Included in Commodity Cost,0.03
FPQ-14942,SCMS-259074,ASN-31070,South Africa,PMO - US,Direct Drop,DDP,Truck,9-Mar-15,9-Mar-15,9-Mar-15,ARV,Adult,PHARMACY DIRECT,Didanosine,Generic,250mg,Delayed-release capsules,30,1,11.02,11.02,0.37,"Aurobindo Unit III, India",No,Weight Captured Separately,Freight Included in Commodity Cost,0.01
Pre-PQ Process,SO-895,DN-298,Uganda,PMO - US,From RDC,N/A - From RDC,Air,27-Aug-07,27-Aug-07,27-Aug-07,ARV,Adult,SCMS from RDC,Stavudine,Generic,30mg,Capsule,60,1000,1520.0,1.52,0.03,"Strides, Bangalore, India.",No,See DN-298 (ID#:10863),See DN-298 (ID#:10863),2.43
FPQ-16194,SCMS-285500,ASN-33269,Vietnam,PMO - US,Direct Drop,EXW,Air,3-Sep-15,3-Sep-15,3-Sep-15,ARV,Adult,HETERO LABS LIMITED,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,13736,130492.0,9.5,0.32,Hetero Unit III Hyderabad IN,No,See ASN-33269 (ID#:25323),See ASN-33269 (ID#:25323),153.59
Pre-PQ Process,SO-13980,DN-972,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,31-Oct-08,31-Oct-08,31-Oct-08,ARV,Adult,SCMS from RDC,Lamivudine/Stavudine,Generic,150/30mg,Tablet - FDC,30,8000,16000.0,2.0,0.07,"Cipla, Goa, India",Yes,483,2947.59,31.36
FPQ-11489,SO-44630,DN-3125,South Sudan,PMO - US,From RDC,N/A - From RDC,Air,30-Apr-13,24-Apr-13,24-Apr-13,ARV,Pediatric,SCMS from RDC,Lamivudine/Zidovudine,Generic,30/60mg,Tablet - FDC,60,132,298.32,2.26,0.04,Mylan (formerly Matrix) Nashik,No,See DN-3125 (ID#:82571),See DN-3125 (ID#:82571),0.37
FPQ-9355,SO-41596,DN-2839,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,5-Oct-12,24-Sep-12,24-Sep-12,ARV,Adult,SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,5619,30117.84,5.36,0.18,Hetero Unit III Hyderabad IN,Yes,596,2175.07,42.23
Pre-PQ Process,SO-1719,DN-593,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,5-Feb-08,5-Feb-08,5-Feb-08,ARV,Adult,SCMS from RDC,Zidovudine,Generic,300mg,Tablet,60,10000,81500.0,8.15,0.14,"Aurobindo Unit III, India",Yes,574,3787.32,130.4
FPQ-7085,SO-38743,DN-2396,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,10-Dec-11,9-Dec-11,9-Dec-11,ARV,Adult,SCMS from RDC,Nevirapine,Generic,200mg,Tablet,60,108,271.08,2.51,0.04,Hetero Unit III Hyderabad IN,No,See DN-2396 (ID#:84117),See DN-2396 (ID#:84117),0.45
FPQ-14235,SCMS-247370,ASN-30197,Mozambique,PMO - US,Direct Drop,CIP,Air,20-Jan-15,20-Jan-15,20-Jan-15,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Raltegravir,Isentress,400mg,Tablet,60,40,2220.0,55.5,0.92,"MSD, Haarlem, NL",Yes,Weight Captured Separately,Freight Included in Commodity Cost,2.28
Pre-PQ Process,SO-2502,DN-813,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,26-Jul-08,26-Jul-08,26-Jul-08,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30,4000,48040.0,12.01,0.4,"Aurobindo Unit III, India",No,See DN-813 (ID#:10979),See DN-813 (ID#:10979),76.86
FPQ-14226,SO-49390,DN-3886,Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,30-Sep-14,30-Oct-14,13-Nov-14,ARV,Adult,SCMS from RDC,Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,2199,10203.36,4.64,0.15,"Aurobindo Unit VII, IN",No,See DN-3886 (ID#:83817),See DN-3886 (ID#:83817),10.49
FPQ-9063,SO-41361,DN-2851,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,28-Sep-12,10-Sep-12,10-Sep-12,ARV,Adult,SCMS from RDC,Efavirenz,Generic,600mg,Tablet,30,34760,132435.6,3.81,0.13,"Aurobindo Unit III, India",Yes,3367,12589.74,185.67
FPQ-9263,SCMS-139100,ASN-14678,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,22-May-12,22-May-12,22-May-12,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Atazanavir/Ritonavir,Generic,300/100mg,Tablet,30,1800,45000.0,25.0,0.83,Mylan (formerly Matrix) Nashik,Yes,225,3109.21,63.09
